address,latitude,longitude,type
Marquette / du Mont-Royal,45.53229,-73.57544,high
Milton / University,45.5065198,-73.576405,high
Boyer / du Mont-Royal,45.527432,-73.579917,high
Mackay / de Maisonneuve,45.49683,-73.57913,high
McTavish / Sherbrooke,45.502813,-73.576024,high
des Pins / St-Laurent,45.5152281,-73.5750961,high
St-Dominique / St-Zotique,45.532265,-73.611063,average
Waverly / St-Viateur,45.523856,-73.600127,average
Atateken / du Square Amherst,45.5206338,-73.563906,average
de la Commune / Place Jacques-Cartier,45.50761,-73.551836,average
André-Laurendeau / Rachel,45.5428981,-73.561846,average
Jeanne-Mance / Laurier,45.5201249,-73.5952138,average
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,average
Aylwin / Ontario,45.544284,-73.54534,average
Cartier / Marie-Anne,45.532674,-73.571776,average
Prince-Arthur / du Parc,45.51059,-73.57547,average
Clark / Rachel,45.517354,-73.582129,average
Métro Mont-Royal (Utilités publiques / Rivard),45.5242361,-73.5815522,average
St-Dominique / du Mont-Royal,45.5205595,-73.5858203,average
de Lanaudière / du Mont-Royal,45.5302211,-73.5769965,average
Métro Papineau (Dorion / De Maisonneuve),45.5238446,-73.552366,average
Marquette / Laurier,45.53543,-73.5822,average
Métro Sherbrooke (de Rigaud / Berri),45.518292,-73.567971,average
Milton / Durocher,45.508141,-73.57493,average
St-Dominique / Laurier,45.5236149,-73.5924574,average
Jeanne-Mance / Sherbrooke,45.5092868,-73.5710192,average
Métro Vendôme (de Marlowe / de Maisonneuve),45.473868,-73.604538,average
Laurier / St-Denis,45.5271484,-73.5894795,average
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),45.5082046,-73.5688144,average
de Lanaudière / Laurier,45.533314,-73.583737,average
Métro Beaubien (de Chateaubriand / Beaubien),45.53536,-73.603635,average
Mackay / Ste-Catherine,45.495709,-73.576952,average
Laval / du Mont-Royal,45.522365,-73.584146,average
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.5543734,-73.5513747,average
de la Commune / King,45.497515,-73.552571,average
10e avenue / Masson,45.550306,-73.573353,average
Émile-Duployé / Sherbrooke,45.527201,-73.564729,average
Clark / Laurier,45.5225445,-73.5934693,average
des Bassins / du Séminaire,45.490452,-73.560172,average
St-Hubert / Duluth,45.522426,-73.574184,average
St-Denis / Ste-Catherine,45.5137229,-73.5603105,average
Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,average
Gare d'autocars de Montréal (Berri / Ontario),45.516897,-73.563949,average
Ste-Catherine / Union,45.5036663,-73.5695761,average
Marmier / St-Denis,45.530871,-73.598345,average
Métro Jarry (Lajeunesse / Jarry),45.5435597,-73.627772,average
St-Charles / Thomas-Keefer,45.477605,-73.573775,average
Peel / Notre-Dame,45.4954469,-73.5632944,average
Rachel / de Brébeuf,45.52689,-73.57264,average
Marché Atwater,45.480208,-73.577599,average
Peel / Ottawa,45.4941996,-73.5599846,average
Parc du Pélican (1ère avenue / Masson),45.5451997,-73.5764507,average
Jeanne-Mance / St-Viateur,45.523027,-73.60184,average
du Parc-Lafontaine / Rachel,45.5254742,-73.5743251,average
de la Commune / St-Sulpice,45.504242,-73.55347,average
Duluth  / St-Denis,45.5208024,-73.5757989,average
5e avenue / Masson,45.5475583,-73.5754719,average
Laurier / de Brébeuf,45.532514,-73.584811,average
Square St-Louis (du Square St-Louis / Laval),45.516091,-73.570129,average
Boyer / St-Zotique,45.53848,-73.60556,average
Guy / Sainte-Catherine,45.4949751,-73.5777704,average
St-André / Ste-Catherine,45.516427,-73.558112,average
Richmond / des Bassins,45.4875216,-73.565003,average
Ste-Catherine / Towers,45.4922807,-73.5809648,average
Berri / Cherrier,45.519088,-73.569509,average
Clark / St-Viateur,45.5251603,-73.5992467,average
Clark / Prince-Arthur,45.513303,-73.572961,average
Pontiac / Gilford,45.527009,-73.585766,average
Prince-Arthur / St-Urbain,45.512587,-73.573739,average
Villeneuve / St-Laurent,45.521342,-73.589419,average
Aylmer / Prince-Arthur,45.508567,-73.577698,average
Milton / du Parc,45.509361,-73.573864,average
Duluth / de l'Esplanade,45.515092,-73.581142,average
Chomedey / de Maisonneuve,45.4918,-73.584006,average
Messier / du Mont-Royal,45.537114,-73.571003,average
Crescent / de Maisonneuve,45.498112,-73.577615,average
Gilford / St-Denis,45.5251147,-73.586006,average
Hutchison / Prince-Arthur,45.509759,-73.576107,average
Gary-Carter / St-Laurent,45.5359,-73.622443,average
Laval / Duluth,45.519216,-73.57718,average
St-Timothée / Robin,45.5186318,-73.5611299,low
Préfontaine / Marcel-Pépin,45.5436538,-73.5594206,low
Hélène-Baillargeon / St-Denis,45.52974,-73.59527,low
Jean-Paul-Vincent / Adoncour,45.5646764,-73.4795775,low
de Chenonceau / Chomedey,45.56157,-73.75448,low
Drolet / St-Zotique,45.534882,-73.609412,low
Logan / Fullum,45.528366,-73.551171,low
Rose-de-Lima / Workman,45.4802642,-73.5809936,low
de Normanville / Villeray,45.54717,-73.618041,low
Parc Benny (Benny / de Monkland),45.4669357,-73.6315311,low
Parc Ludger-Duvernay (St-André / St-Hubert),45.5314746,-73.5924205,low
Péloquin / Fleury,45.5570222,-73.6599016,low
Saint-Rémi / Valois,45.5839618,-73.7208259,low
Métro Côte-Ste-Catherine (Beaucourt / de la Côte-Ste-Catherine),45.491513,-73.633649,low
Terminus Le Carrefour (Terry-Fox / Le Carrefour),45.5684203,-73.7468728,low
St-Urbain / de la Gauchetière,45.507078,-73.561395,low
Travaux publics LaSalle (Cordner / Léger),45.4452719,-73.6244836,low
Parc Chenier (de l'Aréna / Chenier),45.6024865,-73.5432905,low
Alexandre-DeSève / Ste-Catherine,45.52123,-73.553861,low
Parc Lalancette (de Rouen / Valois),45.548145,-73.5471261,low
William / Robert-Bourassa,45.497165,-73.55933,low
Irwin / Allard,45.4489034,-73.6049049,low
Métro Champ-de-Mars (Viger / Sanguinet),45.510351,-73.556508,low
Complexe sportif Claude Robillard (Émile-Journault),45.5529855,-73.6386477,low
15e avenue / Masson,45.553898,-73.571387,low
St-Viateur / Casgrain,45.5271166,-73.5977359,low
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),45.5068242,-73.681848,low
de Gaspé / de Liège,45.542485,-73.636342,low
du Square Dorchester / Peel,45.4996996,-73.5719365,low
Parc Champdoré (Champdoré / de Lille),45.5691762,-73.6362934,low
Cartier / Gillford,45.535288,-73.5773814,low
Place du Village (St-Jean-Baptiste / Notre-Dame),45.6400029,-73.490113,low
St-Jacques / Vinet,45.485329,-73.5769227,low
Parc St-Henri (Laporte / Guay),45.4801338,-73.5859081,low
Chabanel / du Parc,45.538308,-73.654884,low
