address,latitude,longitude,visit_count,type
Métro Mont-Royal (Utilités publiques / Rivard),45.5242361,-73.5815522,4137,high
Clark / Laurier,45.5225445,-73.5934693,3148,high
Métro Papineau (Dorion / De Maisonneuve),45.5238446,-73.552366,3624,high
Marquette / Laurier,45.53543,-73.5822,3186,high
Métro Sherbrooke (de Rigaud / Berri),45.518292,-73.567971,3827,high
Milton / Durocher,45.508141,-73.57493,3092,high
St-Dominique / Laurier,45.5236149,-73.5924574,3821,high
Jeanne-Mance / Sherbrooke,45.5092868,-73.5710192,3311,high
Métro Vendôme (de Marlowe / de Maisonneuve),45.473868,-73.604538,3079,high
Laurier / St-Denis,45.5271484,-73.5894795,3705,high
Métro Beaubien (de Chateaubriand / Beaubien),45.53536,-73.603635,4581,high
Milton / University,45.5065198,-73.576405,5671,high
Chomedey / de Maisonneuve,45.4918,-73.584006,3332,high
Milton / du Parc,45.509361,-73.573864,3484,high
Gilford / St-Denis,45.5251147,-73.586006,3413,high
Émile-Duployé / Sherbrooke,45.527201,-73.564729,3253,high
Clark / St-Viateur,45.5251603,-73.5992467,3099,high
Peel / Ottawa,45.4941996,-73.5599846,4123,high
du Parc-Lafontaine / Rachel,45.5254742,-73.5743251,3183,high
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,4729,high
Square St-Louis (du Square St-Louis / Laval),45.516091,-73.570129,4067,high
St-André / Ste-Catherine,45.516427,-73.558112,4090,high
Guy / Sainte-Catherine,45.4949751,-73.5777704,4466,high
Richmond / des Bassins,45.4875216,-73.565003,3037,high
de la Commune / King,45.497515,-73.552571,3682,high
de Lanaudière / du Mont-Royal,45.5302211,-73.5769965,4243,high
Prince-Arthur / du Parc,45.51059,-73.57547,4665,high
Laurier / de Brébeuf,45.532514,-73.584811,4307,high
Clark / Rachel,45.517354,-73.582129,4297,high
Jeanne-Mance / Laurier,45.5201249,-73.5952138,3453,high
St-Dominique / St-Zotique,45.532265,-73.611063,3234,high
de la Commune / Place Jacques-Cartier,45.50761,-73.551836,4473,high
des Pins / St-Laurent,45.5152281,-73.5750961,6586,high
Duluth  / St-Denis,45.5208024,-73.5757989,3550,high
de la Commune / St-Sulpice,45.504242,-73.55347,3997,high
Clark / Prince-Arthur,45.513303,-73.572961,4504,high
Berri / Cherrier,45.519088,-73.569509,4581,high
Mackay / de Maisonneuve,45.49683,-73.57913,4935,high
Boyer / du Mont-Royal,45.527432,-73.579917,5762,high
McTavish / Sherbrooke,45.502813,-73.576024,5611,high
Aylmer / Prince-Arthur,45.508567,-73.577698,3389,high
Duluth / de l'Esplanade,45.515092,-73.581142,3744,high
Marquette / du Mont-Royal,45.53229,-73.57544,6682,high
des Bassins / du Séminaire,45.490452,-73.560172,3386,high
Alexandre-DeSève / Ste-Catherine,45.52123,-73.553861,1339,average
de Mentana / Marie-Anne,45.526027,-73.577859,1884,average
de Chambly / Rachel,45.549911,-73.558263,1215,average
Métro Charlevoix (Centre / Charlevoix),45.478228,-73.569651,2124,average
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.5140122,-73.5659867,1861,average
Milton / St-Laurent,45.5129039,-73.5705918,1117,average
St-Grégoire / Christophe-Colomb,45.5325974,-73.5901111,1902,average
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.457509,-73.639485,1156,average
Bennett / Ste-Catherine,45.553053,-73.532427,1050,average
Chabot / Beaubien,45.544376,-73.595645,1377,average
St-Ambroise / Louis-Cyr,45.4751933,-73.5809433,1180,average
Métro de l'Église (Ross / de l'Église),45.462726,-73.565959,1580,average
de l'Hôtel-de-Ville / Roy,45.517401,-73.574605,1945,average
de l'Hôtel-de-Ville / Rachel,45.5198966,-73.5801065,1670,average
William / Robert-Bourassa,45.497165,-73.55933,1250,average
d'Orléans / Masson,45.557192,-73.569847,1394,average
Jeanne-Mance / St-Viateur,45.523027,-73.60184,2978,average
St-Hubert / de Maisonneuve (nord),45.5161321,-73.5604969,1338,average
William / St-Henri,45.498919,-73.557254,1523,average
Marché Atwater,45.480208,-73.577599,2835,average
Plessis / Ontario,45.523492,-73.56073,1760,average
Rachel / de Brébeuf,45.52689,-73.57264,2589,average
Peel / Notre-Dame,45.4954469,-73.5632944,2997,average
Parc Baldwin (Fullum / Sherbrooke),45.5340705,-73.5626507,2162,average
5e avenue / Masson,45.5475583,-73.5754719,2412,average
Parc Lalancette (de Rouen / Valois),45.548145,-73.5471261,1351,average
Marcil / Sherbrooke,45.471743,-73.613924,1184,average
de Léry / Sherbrooke,45.5409997,-73.5582626,1040,average
Beaudry / Sherbrooke,45.523035,-73.565395,1834,average
Parc du Pélican (1ère avenue / Masson),45.5451997,-73.5764507,2757,average
Cypress / Peel,45.499325,-73.571768,1138,average
Boyer / St-Zotique,45.53848,-73.60556,2487,average
St-Hubert / Laurier,45.52931,-73.588657,1841,average
Sanguinet / de Maisonneuve,45.513405,-73.562594,1349,average
Drolet / St-Zotique,45.534882,-73.609412,1302,average
Logan / Fullum,45.528366,-73.551171,1019,average
de Maisonneuve / Mansfield (sud),45.502145,-73.573427,2118,average
15e avenue / Masson,45.553898,-73.571387,1449,average
Métro Frontenac (Ontario / du Havre),45.533706,-73.552179,2363,average
Fullum / Marie-Anne,45.5365054,-73.5680392,2186,average
St-Alexandre / Ste-Catherine,45.505359,-73.567741,1968,average
Métro Lionel-Groulx (St-Jacques / Atwater),45.4836285,-73.5797026,2288,average
Mont-Royal / St-Denis,45.5238768,-73.5830489,1182,average
